year,state,office,district,stage,forecast_final,actual_result,forecast_error
2020,PA,State House,29,general,0.47,0.41,0.06
2020,NH,State Senate,17,general,0.43,0.4,0.03
2020,KY,State House,58,general,0.42,0.33,0.08
2020,MN,State House,7B,general,0.73,0.68,0.05
2020,PA,State House,45,general,0.63,0.62,0.01
2020,OH,State House,52,general,0.39,0.36,0.02
2020,NY,State House,104,general,0.63,0.6,0.04
2020,AZ,State House,26,general,0.28,0.35,0.07
2020,ME,State House,76,general,0.53,0.48,0.05
2020,PA,State House,153,general,0.85,0.77,0.08
2020,MN,State House,58A,general,0.44,0.43,0.01
2020,MI,State House,66,general,0.45,0.41,0.04
2020,KY,State House,63,general,0.39,0.32,0.07
2020,ME,State House,99,general,0.46,0.46,0
2020,CA,State House,9,general,0.68,0.68,0.01
2020,AZ,State House,18,general,0.34,0.29,0.05
2020,WV,State Senate,17,general,0.52,0.46,0.05
2020,ME,State Senate,29,general,0.65,0.67,0.02
2020,PA,State House,154,general,0.79,0.78,0.02
2020,NH,US House,2,general,0.55,0.54,0.01
2020,NC,State House,14,general,0.41,0.4,0.01
2020,AR,State House,89,general,0.5,0.56,0.07
2020,MN,State House,18B,general,0.34,0.29,0.06
2020,WI,State House,89,general,0.33,0.31,0.02
2020,NM,State House,52,general,0.65,0.65,0.01
2020,CA,State House,72,general,0.51,0.46,0.05
2020,MN,State House,41A,general,0.67,0.64,0.03
2020,AK,State House,35,general,0.59,0.6,0
2020,DE,State House,4,general,0.69,0.7,0.01
2020,NY,State House,93,general,0.68,0.61,0.07
2020,TX,State House,145,general,0.7,0.64,0.06
2020,MO,State House,113,general,0.45,0.37,0.08
2020,ME,State House,136,general,0.42,0.36,0.06
2020,MT,State House,97,general,0.4,0.43,0.03
2020,MI,State House,90,general,0.34,0.36,0.02
2020,KS,State House,36,general,0.7,0.63,0.07
2020,WI,State House,6,general,0.36,0.31,0.05
2020,OR,State House,23,general,0.43,0.35,0.08
2020,AK,State House,9,general,0.3,0.28,0.02
2020,CT,State House,36,general,0.53,0.55,0.02
2020,CT,State House,126,general,0.89,0.8,0.09
2020,FL,US House,6,general,0.44,0.39,0.05
2020,UT,State House,17,general,0.25,0.27,0.02
2020,IL,State House,81,general,0.53,0.53,0
2020,MI,State House,44,general,0.42,0.4,0.01
2020,IA,State House,72,general,0.41,0.39,0.02
2020,TX,US House,1,general,0.29,0.27,0.01
2020,CT,State Senate,19,general,0.56,0.54,0.02
2020,WV,State House,11,general,0.42,0.34,0.08
2020,TN,State House,65,general,0.31,0.3,0.01
2020,KY,State House,21,general,0.29,0.19,0.09
2020,FL,State House,105,general,0.52,0.46,0.06
2020,AR,State House,55,general,0.61,0.52,0.09
2020,GA,State House,147,general,0.47,0.48,0.01
2020,KS,State House,67,general,0.41,0.46,0.04
2020,SD,State House,15,general,0.33,0.27,0.05
2020,GA,State House,34,general,0.42,0.44,0.02
2020,OH,US House,9,general,0.69,0.63,0.06
2020,KS,State House,70,general,0.32,0.23,0.09
2020,AZ,State House,26,general,0.39,0.34,0.05
2020,KS,State House,69,general,0.43,0.41,0.03
2020,IN,State House,59,general,0.41,0.4,0.01
2020,MN,State House,26B,general,0.47,0.49,0.02
2020,CO,State House,25,general,0.55,0.53,0.02
2020,CA,State House,44,general,0.67,0.62,0.06
2020,MO,State House,147,general,0.4,0.37,0.03
2020,CT,State House,67,general,0.43,0.39,0.04
2020,OK,US House,5,general,0.52,0.48,0.04
2020,MO,US House,3,general,0.33,0.25,0.08
2020,ME,State House,132,general,0.54,0.55,0.01
2020,FL,State House,12,general,0.4,0.4,0
2020,KS,State House,33,general,0.54,0.49,0.05
2020,WI,State House,85,general,0.47,0.45,0.02
2020,SD,State House,11,general,0.16,0.24,0.08
2020,UT,State House,36,general,0.59,0.64,0.04
2020,AZ,State House,25,general,0.22,0.26,0.05
2020,FL,State House,27,general,0.48,0.44,0.05
2020,HI,State House,37,general,0.73,0.74,0.01
2020,MN,State House,54B,general,0.48,0.46,0.02
2020,VA,US House,3,general,0.67,0.66,0.01
2020,CO,State House,4,general,0.86,0.85,0.01
2020,AZ,State House,19,general,0.49,0.53,0.04
2020,AK,State House,6,general,0.38,0.3,0.08
2020,MT,State House,46,general,0.41,0.32,0.09
2020,OR,State House,12,general,0.64,0.57,0.07
2020,MI,US House,8,general,0.52,0.51,0.01
2020,NC,US House,4,general,0.67,0.67,0
2020,CT,State House,150,general,0.53,0.55,0.02
2020,NC,State Senate,49,general,0.65,0.63,0.02
2020,WV,State House,32,general,0.12,0.13,0
2020,NM,State House,17,general,0.62,0.63,0.02
2020,CO,State House,1,general,0.67,0.68,0.01
2020,NV,State House,21,general,0.58,0.52,0.06
2020,OK,State House,94,general,0.63,0.6,0.03
2020,KY,State House,57,general,0.65,0.61,0.04
2020,CO,State House,38,general,0.51,0.56,0.05
2020,MN,US House,4,general,0.62,0.63,0.01
2020,CT,State House,24,general,0.63,0.64,0.01
2020,TX,State House,57,general,0.24,0.21,0.03
2020,MI,State House,23,general,0.57,0.53,0.04
2020,ME,State House,19,general,0.44,0.43,0.01
2020,OR,State House,10,general,0.58,0.53,0.05
2020,CA,State House,61,general,0.7,0.66,0.05
2020,WI,State House,25,general,0.4,0.35,0.05
2020,GA,State House,102,general,0.51,0.51,0
2020,NC,US House,1,general,0.62,0.54,0.08
2020,NV,US House,1,general,0.68,0.62,0.05
2020,NC,State House,19,general,0.45,0.42,0.03
2020,CA,State House,69,general,0.78,0.72,0.05
2020,HI,US House,2,general,0.66,0.64,0.02
2020,CA,State House,16,general,0.63,0.7,0.07
2020,NV,State House,16,general,0.67,0.64,0.02
2020,NC,State House,90,general,0.35,0.25,0.09
2020,CT,State House,127,general,0.72,0.67,0.05
2020,CT,State House,129,general,0.79,0.73,0.05
2020,NC,State Senate,32,general,0.59,0.59,0.01
2020,WI,US House,5,general,0.39,0.35,0.04
2020,IA,State House,7,general,0.46,0.38,0.08
2020,VA,US House,1,general,0.44,0.41,0.03
2020,PA,State House,21,general,0.71,0.65,0.06
2020,AK,State House,2,general,0.38,0.3,0.08
2020,IA,State House,38,general,0.54,0.5,0.05
2020,CO,State House,9,general,0.68,0.73,0.05
2020,IA,State House,94,general,0.45,0.45,0
2020,TX,US Senate,TX,general,0.45,0.44,0.02
2020,MN,State House,38B,general,0.52,0.5,0.02
2020,IA,State House,53,general,0.58,0.66,0.08
2020,FL,State House,19,general,0.29,0.27,0.02
2020,MN,State House,44B,general,0.65,0.62,0.03
2020,PA,State House,171,general,0.4,0.38,0.02
2020,CA,State House,4,general,0.73,0.7,0.03
2020,IA,State House,30,general,0.44,0.39,0.05
2020,PA,State House,150,general,0.58,0.54,0.04
2020,NJ,US House,11,general,0.58,0.59,0.01
2020,ME,State House,114,general,0.4,0.35,0.05
2020,NY,State House,55,general,0.89,0.95,0.06
2020,NC,State Senate,46,general,0.37,0.28,0.09
2020,NC,State House,54,general,0.64,0.61,0.03
2020,MO,State House,48,general,0.35,0.32,0.03
2020,UT,State House,50,general,0.32,0.31,0.02
2020,DE,State House,27,general,0.59,0.61,0.03
2020,NH,State Senate,2,general,0.48,0.44,0.04
2020,IL,State House,83,general,0.81,0.72,0.09
2020,TX,US House,10,general,0.45,0.45,0.01
2020,MO,State House,88,general,0.6,0.63,0.03
2020,CO,State House,28,general,0.5,0.58,0.08
2020,MO,State House,17,general,0.59,0.56,0.03
2020,PA,State House,147,general,0.44,0.39,0.04
2020,NY,State Senate,44,general,0.73,0.7,0.03
2020,MO,State House,137,general,0.26,0.22,0.04
2020,KS,State House,53,general,0.54,0.55,0.01
2020,FL,State House,1,general,0.39,0.35,0.04
2020,NC,State House,57,general,0.69,0.68,0.01
2020,ME,State House,122,general,0.7,0.63,0.07
2020,KY,State House,39,general,0.45,0.38,0.07
2020,AZ,State House,29,general,0.38,0.38,0
2020,NC,State House,104,general,0.53,0.54,0.01
2020,ME,State House,141,general,0.27,0.22,0.06
2020,NC,State House,34,general,0.58,0.57,0.02
2020,PA,State House,139,general,0.31,0.32,0
2020,OH,US House,6,general,0.31,0.26,0.05
2020,PA,State House,166,general,0.73,0.7,0.03
2020,NV,State House,9,general,0.6,0.54,0.05
2020,NC,State House,81,general,0.33,0.27,0.06
2020,CT,State House,82,general,0.5,0.52,0.02
2020,ID,State Senate,18,general,0.62,0.62,0
2020,ME,State House,106,general,0.47,0.38,0.09
2020,IL,State House,97,general,0.48,0.48,0
2020,NY,State House,14,general,0.41,0.35,0.06
2020,CT,State House,136,general,0.64,0.67,0.03
2020,CT,State House,52,general,0.41,0.35,0.05
2020,MN,State House,67B,general,0.75,0.76,0.01
2020,SD,State House,1,general,0.25,0.3,0.05
2020,MO,State House,35,general,0.53,0.55,0.01
2020,PA,State House,40,general,0.43,0.38,0.05
2020,ME,State House,121,general,0.37,0.31,0.06
2020,NM,State House,69,general,0.72,0.63,0.09
2020,MN,State House,20A,general,0.39,0.31,0.07
2020,MN,State House,60A,general,0.76,0.83,0.07
2020,RI,State Senate,27,general,0.58,0.54,0.04
2020,ME,State House,86,general,0.49,0.43,0.06
2020,CA,US House,24,general,0.57,0.63,0.06
2020,KS,State House,26,general,0.45,0.39,0.06
2020,KY,State House,29,general,0.47,0.44,0.03
2020,NC,State House,11,general,0.68,0.69,0
2020,ME,State House,71,general,0.45,0.45,0.01
2020,IN,State House,93,general,0.38,0.33,0.05
2020,WV,State House,38,general,0.43,0.35,0.08
2020,IA,State House,67,general,0.53,0.53,0
2020,GA,State House,54,general,0.52,0.58,0.06
2020,WI,State House,4,general,0.45,0.47,0.02
2020,SD,State House,4,general,0.22,0.2,0.03
2020,OH,State House,46,general,0.61,0.62,0.01
2020,SD,State House,7,general,0.2,0.16,0.04
2020,PA,State House,162,general,0.54,0.54,0
2020,NY,State Senate,36,general,0.94,0.95,0.01
2020,AR,US House,4,general,0.32,0.28,0.04
2020,IL,State House,79,general,0.44,0.36,0.08
2020,OR,State House,51,general,0.53,0.56,0.02
2020,MN,State House,50B,general,0.62,0.63,0.02
2020,NC,State House,87,general,0.32,0.23,0.09
2020,NC,US House,6,general,0.61,0.62,0.02
2020,CO,State House,37,general,0.54,0.56,0.02
2020,CT,State House,28,general,0.58,0.56,0.02
2020,OR,US House,4,general,0.56,0.53,0.04
2020,AK,State House,21,general,0.57,0.62,0.05
2020,RI,State House,38,general,0.59,0.58,0.01
2020,TN,State House,8,general,0.3,0.25,0.05
2020,MN,State House,45A,general,0.64,0.63,0.01
2020,PA,State House,189,general,0.41,0.38,0.03
2020,OK,State House,79,general,0.52,0.52,0
2020,WV,State House,44,general,0.39,0.36,0.02
2020,IL,State House,77,general,0.73,0.64,0.08
2020,MN,State House,52A,general,0.67,0.66,0.01
2020,SC,State House,75,general,0.42,0.49,0.08
2020,WY,State House,33,general,0.49,0.46,0.03
2020,WI,State House,14,general,0.52,0.54,0.02
2020,CA,US House,27,general,0.74,0.72,0.03
2020,TX,State House,56,general,0.34,0.33,0.01
2020,UT,State House,37,general,0.65,0.63,0.01
2020,FL,State House,21,general,0.51,0.49,0.02
2020,MN,State House,23A,general,0.39,0.32,0.08
2020,FL,State House,35,general,0.38,0.36,0.02
2020,NC,US House,2,general,0.59,0.63,0.04
2020,CA,State House,59,general,0.62,0.58,0.04
2020,OR,State House,35,general,0.66,0.68,0.02
2020,PA,State House,178,general,0.48,0.42,0.06
2020,SD,State House,12,general,0.3,0.31,0.01
2020,PA,State House,109,general,0.31,0.25,0.06
2020,NC,State House,38,general,0.71,0.78,0.07
2020,CA,State House,78,general,0.43,0.43,0.01
2020,NY,State House,120,general,0.33,0.25,0.08
2020,KS,US House,4,general,0.37,0.35,0.02
2020,NC,State House,105,general,0.59,0.55,0.04
2020,FL,State House,119,general,0.44,0.35,0.09
2020,OH,State House,69,general,0.39,0.35,0.03
2020,SC,State House,117,general,0.56,0.53,0.03
2020,OR,State House,9,general,0.52,0.42,0.09
2020,CO,State House,13,general,0.61,0.68,0.07
2020,WI,State House,44,general,0.61,0.6,0.01
2020,TN,US House,7,general,0.32,0.27,0.06
2020,ME,State House,150,general,0.61,0.6,0.01
2020,NC,State Senate,10,general,0.43,0.35,0.08
2020,PA,State House,31,general,0.62,0.57,0.05
2020,FL,State House,57,general,0.45,0.46,0.01
2020,CA,State House,64,general,0.38,0.4,0.02
2020,ID,State Senate,12,general,0.36,0.3,0.06
2020,ME,State House,147,general,0.46,0.45,0.01
2020,CT,State House,151,general,0.43,0.47,0.03
2020,FL,State House,106,general,0.35,0.34,0.01
2020,WI,State House,62,general,0.44,0.41,0.03
2020,CA,US House,21,general,0.51,0.49,0.01
2020,NC,State House,120,general,0.35,0.26,0.09
2020,IL,State House,70,general,0.5,0.42,0.07
2020,IA,State House,98,general,0.58,0.6,0.02
2020,MN,State House,31B,general,0.35,0.33,0.02
2020,ME,State House,87,general,0.47,0.44,0.03
2020,MI,State House,61,general,0.52,0.54,0.02
2020,OR,State House,59,general,0.37,0.4,0.03
2020,FL,State House,66,general,0.43,0.41,0.01
2020,TN,State House,48,general,0.37,0.38,0.01
2020,SC,State House,66,general,0.74,0.7,0.04
2020,MT,State House,12,general,0.45,0.43,0.02
2020,ME,State House,52,general,0.71,0.67,0.04
2020,CA,US House,28,general,0.72,0.75,0.03
2020,FL,US House,9,general,0.57,0.56,0.01
2020,OR,State House,47,general,0.46,0.5,0.03
2020,TX,US House,21,general,0.5,0.45,0.05
2020,MN,State House,31A,general,0.3,0.26,0.04
2020,OH,State House,19,general,0.56,0.59,0.03
2020,MN,US House,3,general,0.57,0.56,0.01
2020,CO,State House,52,general,0.64,0.64,0
2020,IA,State House,29,general,0.6,0.52,0.08
2020,TX,State House,24,general,0.28,0.28,0.01
2020,ME,State House,139,general,0.31,0.27,0.04
2020,MI,US House,3,general,0.5,0.47,0.03
2020,GA,State House,104,general,0.46,0.49,0.02
2020,FL,State House,65,general,0.4,0.39,0.01
2020,CO,State House,32,general,0.63,0.64,0.02
2020,GA,State Senate,52,general,0.24,0.23,0
2020,TX,State House,83,general,0.24,0.21,0.03
2020,NY,State Senate,34,general,0.69,0.71,0.02
2020,PA,State House,113,general,0.7,0.68,0.01
2020,WI,State House,35,general,0.38,0.35,0.03
2020,MT,State House,17,general,0.27,0.21,0.06
2020,NC,State House,7,general,0.48,0.41,0.07
2020,FL,State House,60,general,0.5,0.46,0.05
2020,CA,State House,24,general,0.74,0.76,0.02
2020,CA,US House,41,general,0.64,0.64,0.01
2020,ME,State House,7,general,0.54,0.48,0.06
2020,UT,US House,2,general,0.37,0.35,0.02
2020,MO,State House,36,general,0.68,0.68,0
2020,CT,State House,111,general,0.5,0.52,0.03
2020,ME,State House,101,general,0.38,0.36,0.02
2020,GA,State House,30,general,0.29,0.29,0
2020,PA,State House,46,general,0.44,0.36,0.07
2020,SD,State Senate,33,general,0.38,0.32,0.06
2020,NC,State Senate,44,general,0.37,0.29,0.08
2020,MN,State House,48A,general,0.62,0.61,0.01
2020,WI,State House,26,general,0.42,0.41,0.01
2020,IL,State House,90,general,0.38,0.36,0.02
2020,MA,US House,9,general,0.58,0.61,0.03
2020,KS,State House,40,general,0.49,0.46,0.03
2020,IL,State House,111,general,0.53,0.45,0.07
2020,RI,State House,4,general,0.85,0.87,0.02
2020,NC,State House,69,general,0.37,0.35,0.02
2020,MN,State House,58B,general,0.39,0.37,0.01
2020,IN,State House,28,general,0.3,0.28,0.01
2020,CO,State House,55,general,0.36,0.33,0.03
2020,MN,State House,10A,general,0.38,0.35,0.03
2020,MT,State House,48,general,0.56,0.53,0.04
2020,NC,State House,49,general,0.65,0.65,0
2020,WI,State House,34,general,0.4,0.37,0.03
2020,SD,State House,8,general,0.16,0.11,0.05
2020,MI,State House,16,general,0.69,0.62,0.07
2020,ME,State Senate,30,general,0.53,0.54,0.01
2020,NY,State House,150,general,0.34,0.27,0.07
2020,NH,State Senate,22,general,0.41,0.36,0.05
2020,ME,US House,1,general,0.65,0.6,0.05
2020,NC,State Senate,37,general,0.58,0.55,0.03
2020,OR,State Senate,30,general,0.4,0.33,0.07
2020,KS,State House,55,general,0.6,0.63,0.03
2020,OK,State House,68,general,0.35,0.33,0.02
2020,NC,State House,96,general,0.37,0.37,0
2020,SD,State Senate,26,general,0.54,0.53,0.01
2020,RI,State House,69,general,0.59,0.58,0.01
2020,FL,State House,52,general,0.38,0.38,0
2020,CT,State House,134,general,0.47,0.48,0.01
2020,ME,State House,93,general,0.6,0.55,0.05
2020,CA,US House,9,general,0.67,0.62,0.05
2020,CO,State House,63,general,0.38,0.37,0.01
2020,NC,State Senate,14,general,0.76,0.73,0.03
2020,ME,State Senate,3,general,0.39,0.31,0.08
2020,CT,State House,9,general,0.71,0.66,0.05
2020,MN,State House,5B,general,0.45,0.39,0.06
2020,NM,State House,15,general,0.5,0.55,0.05
2020,FL,State House,116,general,0.42,0.37,0.05
2020,NC,State Senate,18,general,0.55,0.52,0.03
2020,NC,State Senate,38,general,0.83,0.78,0.04
2020,WV,State Senate,2,general,0.41,0.44,0.03
2020,AK,State House,24,general,0.43,0.44,0.01
2020,KS,State House,58,general,0.67,0.69,0.02
2020,IN,State House,77,general,0.65,0.62,0.03
2020,MO,State House,50,general,0.42,0.38,0.04
2020,SD,State House,27,general,0.23,0.27,0.05
2020,DE,State House,36,general,0.36,0.36,0.01
2020,MI,State House,56,general,0.35,0.34,0.01
2020,UT,State House,21,general,0.34,0.37,0.02
2020,IL,US House,18,general,0.32,0.28,0.05
2020,IL,State House,54,general,0.5,0.45,0.05
2020,CT,State Senate,6,general,0.62,0.56,0.06
2020,PA,State House,85,general,0.34,0.32,0.02
2020,NY,State House,61,general,0.75,0.66,0.09
2020,MO,State House,12,general,0.4,0.35,0.05
2020,GA,State Senate,46,general,0.4,0.39,0.01
2020,PA,State House,9,general,0.55,0.5,0.04
2020,WV,State House,4,general,0.34,0.34,0
2020,CO,State House,23,general,0.62,0.6,0.01
2020,MI,State House,64,general,0.4,0.37,0.04
2020,ME,State House,2,general,0.62,0.63,0
2020,NM,State House,35,general,0.62,0.61,0.01
2020,OH,State House,23,general,0.44,0.44,0.01
2020,WI,State House,75,general,0.4,0.38,0.03
2020,WV,State House,15,general,0.27,0.32,0.05
2020,IA,State House,16,general,0.47,0.45,0.02
2020,MN,State House,25A,general,0.47,0.42,0.04
2020,GA,State House,66,general,0.64,0.67,0.02
2020,CA,State House,39,general,0.74,0.74,0
2020,MI,State House,34,general,0.83,0.87,0.03
2020,NC,State House,93,general,0.49,0.47,0.02
2020,MI,US House,8,general,0.5,0.51,0.01
2020,WI,State House,91,general,0.66,0.62,0.04
2020,CT,State Senate,36,general,0.51,0.51,0
2020,IL,State House,105,general,0.39,0.37,0.02
2020,CA,State House,2,general,0.79,0.72,0.07
2020,TX,State House,3,general,0.24,0.22,0.01
2020,UT,State House,43,general,0.45,0.42,0.03
2020,NV,State House,6,general,0.78,0.81,0.03
2020,SC,State House,119,general,0.75,0.7,0.05
2020,WV,State House,17,general,0.32,0.33,0.01
2020,WV,State House,18,general,0.37,0.3,0.07
2020,DE,State House,24,general,0.69,0.7,0.01
2020,AZ,State Senate,22,general,0.39,0.39,0
2020,MI,State House,79,general,0.46,0.43,0.03
2020,WI,US House,4,general,0.66,0.65,0.01
2020,OH,State House,38,general,0.42,0.39,0.03
2020,TN,State House,86,general,0.73,0.73,0
2020,NC,State House,15,general,0.36,0.3,0.06
2020,TX,State House,70,general,0.38,0.38,0
2020,NH,State Senate,14,general,0.42,0.41,0.01
2020,NE,US House,1,general,0.4,0.4,0
2020,ME,State Senate,7,general,0.63,0.55,0.09
2020,TX,State House,102,general,0.56,0.54,0.02
2020,MN,State House,43B,general,0.53,0.57,0.04
2020,UT,State House,11,general,0.46,0.4,0.06
2020,UT,State House,46,general,0.55,0.58,0.03
2020,MI,State House,13,general,0.62,0.58,0.04
2020,FL,State House,32,general,0.44,0.44,0.01
2020,NC,State House,77,general,0.3,0.25,0.05
2020,IL,State House,88,general,0.36,0.35,0.01
2020,GA,State Senate,6,general,0.59,0.61,0.02
2020,NC,State Senate,19,general,0.55,0.51,0.04
2020,TX,US House,3,general,0.47,0.43,0.04
2020,CA,US House,38,general,0.68,0.74,0.07
2020,OH,State House,61,general,0.39,0.39,0
2020,WI,US House,7,general,0.4,0.38,0.02
2020,OH,State House,54,general,0.39,0.38,0
2020,MO,State House,10,general,0.41,0.39,0.02
2020,TX,US House,7,general,0.5,0.51,0.01
2020,PA,US House,8,general,0.54,0.52,0.02
2020,OH,State House,62,general,0.28,0.26,0.02
2020,KY,US House,1,general,0.32,0.25,0.07
2020,MO,State House,96,general,0.41,0.4,0.01
2020,OR,State House,1,general,0.31,0.31,0
2020,TN,US House,2,general,0.35,0.31,0.04
2020,ME,State House,144,general,0.4,0.32,0.08
2020,PA,State House,167,general,0.53,0.56,0.03
2020,SC,State House,95,general,0.91,0.88,0.03
2020,ME,State Senate,19,general,0.46,0.4,0.06
2020,MT,State House,89,general,0.63,0.6,0.03
2020,ME,State House,27,general,0.6,0.58,0.01
2020,SC,State House,60,general,0.39,0.39,0.01
2020,MI,State House,28,general,0.6,0.61,0.01
2020,ME,State House,10,general,0.52,0.48,0.04
2020,CA,US House,17,general,0.8,0.74,0.06
2020,IA,State House,91,general,0.52,0.43,0.09
2020,WV,State House,21,general,0.36,0.3,0.05
2020,FL,State House,30,general,0.52,0.53,0.01
2020,ME,State House,50,general,0.77,0.74,0.03
2020,OK,State House,100,general,0.45,0.45,0
2020,MO,State House,21,general,0.58,0.5,0.08
2020,TN,State House,69,general,0.34,0.3,0.05
2020,PA,State House,39,general,0.44,0.36,0.08
2020,CT,State House,23,general,0.44,0.45,0.01
2020,GA,State House,63,general,0.75,0.79,0.04
2020,SC,State House,99,general,0.39,0.36,0.03
2020,MO,State House,89,general,0.42,0.4,0.02
2020,PA,State House,37,general,0.29,0.27,0.02
2020,IA,State House,76,general,0.41,0.39,0.02
2020,NY,State House,87,general,0.79,0.86,0.07
2020,NJ,US House,9,general,0.72,0.67,0.05
2020,CO,State House,57,general,0.38,0.37,0.02
2020,OH,State House,57,general,0.37,0.33,0.04
2020,NH,State Senate,3,general,0.42,0.38,0.03
2020,MN,State House,49B,general,0.63,0.62,0.01
2020,CT,State Senate,5,general,0.65,0.64,0.01
2020,WI,State House,39,general,0.36,0.31,0.05
2020,WV,State House,63,general,0.42,0.37,0.05
2020,KY,State House,23,general,0.25,0.21,0.04
2020,PA,US House,1,general,0.44,0.41,0.03
2020,MO,State House,95,general,0.42,0.41,0.02
2020,ME,State Senate,5,general,0.6,0.58,0.02
2020,DE,State House,33,general,0.39,0.42,0.02
2020,VA,US House,6,general,0.4,0.35,0.05
